Name,City,State
University College of Engineering,Vizianagaram,Andhra Pradesh
D. N. R. College of Engineering & Technology,West Godavari,Andhra Pradesh
"INDIAN INSTITUTE OF TECHNOLOGY, TIRUPATI",YERPEDU,Andhra Pradesh
National Institute of Technology Arunachal Pradesh,Itanagar,Arunachal Pradesh
North Eastern Regional Institute of Science & Technology,Itanagar,Arunachal Pradesh
Assam Don Bosco University,Azara,Assam
DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Dibrugarh,Assam
Assam Down Town University,Guwahati,Assam
Indian Institute of Information Technology Guwahati,Guwahati,Assam
Indian Institute of Technology Guwahati,Guwahati,Assam
Assam Engineering College,Kamrup,Assam
Girijananda Chowdhury Institute of Management & Technology,Kamrup,Assam
Central Institute of Technology,Kokrajhar,Assam
National Institute of Technology Silchar,Silchar,Assam
Tezpur University,Tezpur,Assam
Rashtrakavi Ramdhari Singh Dinkar College of Engineering,Begusarai,Bihar
Bhagalpur College of Engineering,Bhagalpur,Bihar
Lok Nayak Jai Prakash Institute of Technology,Chapra,Bihar
Darbhanga College of Engineering,Darbhanga,Bihar
"Lalit Narayan Mithila University, Darbhanga",Darbhanga,Bihar
Gaya College of Engineering,Gaya,Bihar
Katihar Engineering College,katihar,Bihar
"B. P. Mandal College of Engineering, Madhepura",MADHEPURA,Bihar
Muzaffarpur Institute of Technology,Muzaffarpur,Bihar
Nalanda College of Engineering,Nalanda,Bihar
Bakhtiyarpur College of Engineering,PATNA,Bihar
Indian Institute of Technology Patna,Patna,Bihar
National Institute of Technology Patna,Patna,Bihar
Sitamarhi Institute of Technology,Pupri,Bihar
Motihari College of Engineering,Purba Champaran,Bihar
"M.I.T., Rambagh",Purnea,Bihar
Vidya Vihar Institute of Technology,Purnia,Bihar
"Sershah Engineering College, Sasaram",Sasaram,Bihar
Chandigarh College of Engineering & Technology,Chandigarh,Chandigarh
Panjab University,Chandigarh,Chandigarh
"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,Chandigarh
"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Ambikapur,Chhattisgarh
Rungta College of Engineering & Technology,Bhilai,Chhattisgarh
Shri Shankaracharya Technical Campus,Bhilai,Chhattisgarh
